 
# QPROP Version 1.22
# 
# Propeller_3727                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  1.474376261658673E-003
 -9.528624124015161E-002  0.662006489180644     
#   0.000   4000.      0.000   1.006      0.1942E-01   8.134       5.496    1.6251   0.9107   0.0000   0.00000  0.7648E-01  0.1869E-01   9.1515   0.0000   8.931       0.000       0.5519  0.5893E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0060  0.0074  23.967   0.8905  0.04741     1121  0.006   0.0000   0.8846   1.054       28.59      0.4132E-01
   0.0090  0.0100  21.975   0.8510  0.03343     2317  0.010   0.0000   0.9092   1.508       26.69      0.5709E-01
   0.0120  0.0124  20.079   0.7978  0.02679     3885  0.013   0.0000   0.9183   1.918       25.02      0.7060E-01
   0.0149  0.0146  18.280   0.7420  0.02295     5782  0.017   0.0000   0.9210   2.285       23.48      0.8209E-01
   0.0179  0.0166  16.577   0.6620  0.03938     7961  0.020   0.0000   0.8509   2.609       22.04      0.9177E-01
   0.0209  0.0184  14.972   0.6428  0.03911    10362  0.024   0.0000   0.8420   2.904       20.79      0.1004    
   0.0239  0.0200  13.463   0.6240  0.04233    12910  0.028   0.0000   0.8220   3.211       19.98      0.1099    
   0.0268  0.0213  12.051   0.6069  0.04612    15572  0.031   0.0000   0.7992   3.495       19.21      0.1184    
   0.0298  0.0224  10.735   0.5916  0.05016    18295  0.035   0.0000   0.7750   3.756       18.48      0.1262    
   0.0328  0.0233   9.517   0.5779  0.05421    21025  0.038   0.0000   0.7504   3.997       17.78      0.1332    
   0.0358  0.0240   8.395   0.5660  0.05803    23707  0.042   0.0000   0.7265   4.216       17.11      0.1395    
   0.0388  0.0245   7.370   0.5558  0.06146    26285  0.046   0.0000   0.7040   4.414       16.47      0.1451    
   0.0418  0.0248   6.441   0.5474  0.06432    28705  0.049   0.0000   0.6836   4.593       15.84      0.1500    
   0.0447  0.0248   5.610   0.5407  0.06648    30909  0.053   0.0000   0.6659   4.751       15.24      0.1542    
   0.0477  0.0247   4.875   0.5358  0.06784    32843  0.057   0.0000   0.6513   4.889       14.65      0.1578    
   0.0507  0.0243   4.237   0.5326  0.06829    34450  0.061   0.0000   0.6403   5.007       14.07      0.1608    
   0.0537  0.0237   3.695   0.5311  0.06778    35673  0.064   0.0000   0.6329   5.103       13.50      0.1631    
   0.0566  0.0229   3.251   0.5314  0.06629    36456  0.068   0.0000   0.6295   5.178       12.94      0.1647    
   0.0596  0.0219   2.903   0.5335  0.06384    36742  0.072   0.0000   0.6302   5.230       12.38      0.1657    
   0.0626  0.0206   2.652   0.5374  0.06050    36472  0.075   0.0000   0.6350   5.260       11.83      0.1659    
   0.0656  0.0192   2.497   0.5430  0.05647    35590  0.079   0.0000   0.6438   5.273       11.29      0.1657    
   0.0686  0.0175   2.440   0.5503  0.05210    34034  0.083   0.0000   0.6559   5.278       10.78      0.1653    
   0.0716  0.0156   2.479   0.5590  0.04816    31741  0.087   0.0000   0.6694   5.311       10.38      0.1659    
   0.0745  0.0135   2.615   0.5685  0.04680    28639  0.090   0.0000   0.6781   5.496       10.31      0.1716    
   0.0775  0.0112   2.847   0.5738  0.06273    24557  0.093   0.0000   0.6452   6.610       12.01      0.2088    
