 
# QPROP Version 1.22
# 
# Propeller_3775                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -5.422662825588245E-003
 -0.113517417923074       0.799539116632410     
 GVCALC: Not converged.  Res a CL = -9.818572544272292E-003
 -0.113926669800341       0.855066506843761     
#   0.000   4000.      0.000  0.6617      0.7014E-02   2.938       5.398    0.6509   0.8362   0.0000   0.00000  0.9726E-01  0.1539E-01   8.7525   0.0000   3.514       0.000       0.8160 -0.3197E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0058  0.0067  24.073   0.3732  0.27429     1053  0.007   0.0000   0.2347  0.7167       18.26      0.2832E-01
   0.0083  0.0080  22.296   0.4789  0.14466     1800  0.010   0.0000   0.4760   1.058       18.87      0.4208E-01
   0.0108  0.0092  20.622   0.5583  0.08346     2694  0.013   0.0000   0.6627   1.395       19.14      0.5569E-01
   0.0133  0.0103  19.049   0.6173  0.05328     3720  0.015   0.0000   0.7772   1.723       19.19      0.6881E-01
   0.0158  0.0113  17.579   0.6605  0.03679     4857  0.018   0.0000   0.8447   2.038       19.07      0.8128E-01
   0.0183  0.0122  16.212   0.6917  0.02519     6087  0.021   0.0000   0.8924   2.338       18.85      0.9301E-01
   0.0208  0.0130  14.946   0.7140  0.01407     7391  0.024   0.0000   0.9383   2.622       18.55      0.1039    
   0.0232  0.0137  13.784   0.7298  0.00165     8749  0.027   0.0000   0.9924   2.890       18.20      0.1141    
   0.0258  0.0144  12.723   0.7412 -0.01232    10141  0.030   0.0000   1.0602   3.143       17.82      0.1235    
   0.0283  0.0149  11.765   0.7497 -0.02720    11546  0.033   0.0000   1.1436   3.380       17.42      0.1323    
   0.0308  0.0153  10.909   0.7567 -0.04191    12942  0.036   0.0000   1.2418   3.603       17.01      0.1404    
   0.0333  0.0156  10.155   0.7633 -0.05526    14309  0.039   0.0000   1.3492   3.814       16.60      0.1480    
   0.0358  0.0158   9.504   0.7995 -0.06316    15640  0.042   0.0000   1.4112   3.970       16.01      0.1531    
   0.0383  0.0159   8.955   0.7703 -0.04816    16874  0.045   0.0000   1.3081   4.180       15.73      0.1607    
   0.0408  0.0159   8.509   0.7823 -0.05089    18020  0.048   0.0000   1.3335   4.362       15.37      0.1672    
   0.0433  0.0158   8.165   0.7880 -0.05180    19056  0.051   0.0000   1.3502   4.513       14.94      0.1722    
   0.0457  0.0156   7.923   0.8551 -0.06797    19962  0.055   0.0000   1.4756   4.631       14.45      0.1760    
   0.0482  0.0153   7.784   0.8323 -0.06448    20672  0.058   0.0000   1.4624   4.856       14.36      0.1844    
   0.0507  0.0150   7.746   0.8505 -0.05428    21224  0.061   0.0000   1.3645   4.999       14.03      0.1893    
   0.0533  0.0145   7.812   0.8688 -0.04271    21573  0.064   0.0000   1.2675   5.135       13.71      0.1939    
   0.0558  0.0139   7.979   0.8846 -0.03093    21696  0.067   0.0000   1.1816   5.268       13.41      0.1984    
   0.0583  0.0132   8.249   0.8932 -0.01994    21569  0.070   0.0000   1.1114   5.406       13.15      0.2031    
   0.0608  0.0124   8.622   0.8852 -0.01042    21166  0.073   0.0000   1.0566   5.574       12.99      0.2092    
   0.0633  0.0115   9.096   0.8385 -0.00236    20454  0.076   0.0000   1.0129   5.842       13.08      0.2194    
   0.0658  0.0105   9.673   0.6644  0.00597    19355  0.079   0.0000   0.9634   6.522       14.13      0.2471    
