 
# QPROP Version 1.22
# 
# Propeller_3907                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.8453      0.1724E-01   7.223       5.479    1.4544   0.9065   0.0000   0.00000  0.1589      0.5147E-01  10.5206   0.0000   7.968       0.000       0.9087  0.4695E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0062  24.472   0.6718  0.03183      931  0.006   0.0000   0.8835  0.8716       23.61      0.3934E-01
   0.0080  0.0085  23.447   0.6812  0.02200     1806  0.009   0.0000   0.9176   1.224       23.43      0.5511E-01
   0.0104  0.0107  22.463   0.6915  0.01747     2927  0.012   0.0000   0.9342   1.572       23.25      0.7058E-01
   0.0127  0.0127  21.519   0.7025  0.01520     4264  0.014   0.0000   0.9429   1.916       23.06      0.8575E-01
   0.0150  0.0145  20.615   0.7140  0.01405     5790  0.017   0.0000   0.9475   2.254       22.86      0.1006    
   0.0174  0.0162  19.752   0.7261  0.01350     7475  0.020   0.0000   0.9499   2.587       22.66      0.1151    
   0.0197  0.0177  18.929   0.7387  0.01328     9291  0.022   0.0000   0.9512   2.913       22.44      0.1292    
   0.0221  0.0190  18.147   0.7518  0.01324    11208  0.025   0.0000   0.9518   3.233       22.22      0.1430    
   0.0244  0.0202  17.405   0.7652  0.01329    13199  0.028   0.0000   0.9520   3.546       21.98      0.1563    
   0.0267  0.0213  16.703   0.7792  0.01337    15233  0.031   0.0000   0.9522   3.851       21.73      0.1691    
   0.0291  0.0222  16.042   0.7935  0.01344    17281  0.033   0.0000   0.9523   4.147       21.47      0.1815    
   0.0314  0.0229  15.421   0.7969  0.03290    19333  0.036   0.0000   0.8888   4.409       21.04      0.1918    
   0.0338  0.0234  14.841   0.8362  0.03662    21280  0.039   0.0000   0.8827   4.739       21.05      0.2062    
   0.0361  0.0238  14.301   0.8700  0.03966    23159  0.042   0.0000   0.8780   5.049       20.96      0.2194    
   0.0384  0.0241  13.802   0.8986  0.04188    24941  0.044   0.0000   0.8748   5.338       20.77      0.2314    
   0.0408  0.0242  13.343   0.9220  0.04327    26596  0.047   0.0000   0.8729   5.605       20.51      0.2421    
   0.0431  0.0241  12.925   0.9406  0.04386    28090  0.050   0.0000   0.8723   5.850       20.19      0.2517    
   0.0454  0.0238  12.547   0.9542  0.04376    29392  0.053   0.0000   0.8725   6.075       19.83      0.2601    
   0.0478  0.0235  12.209   0.9628  0.04314    30466  0.056   0.0000   0.8733   6.283       19.44      0.2677    
   0.0501  0.0229  11.912   0.9663  0.04226    31275  0.058   0.0000   0.8742   6.481       19.06      0.2749    
   0.0525  0.0222  11.655   0.9643  0.04152    31776  0.061   0.0000   0.8744   6.684       18.73      0.2824    
   0.0548  0.0213  11.439   0.9564  0.04166    31924  0.064   0.0000   0.8721   6.920       18.53      0.2917    
   0.0571  0.0203  11.263   0.9412  0.04433    31651  0.067   0.0000   0.8636   7.256       18.66      0.3063    
   0.0595  0.0191  11.127   0.9155  0.05519    30828  0.069   0.0000   0.8371   7.887       19.64      0.3369    
   0.0618  0.0177  11.032   0.8578  0.11939    28786  0.069   0.0000   0.7169   9.746       24.41      0.4453    
