 
# QPROP Version 1.22
# 
# Propeller_3969                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.3586E-01 -0.4273E-03 -0.1790       5.340    0.0664  -0.5045   0.0000   0.00000  0.3542E-02 -0.5703E-03   1.8447   0.0000  0.3548       0.000       0.0437 -0.1206E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0096  23.438   0.3262  0.24032     1562  0.007   0.0000   0.2242  0.6721       16.51      0.2359E-01
   0.0087  0.0107  20.450   0.3547  0.14754     2588  0.010   0.0000   0.3484  0.9091       15.02      0.3144E-01
   0.0115  0.0117  17.646   0.3516  0.09104     3768  0.014   0.0000   0.4534   1.099       13.64      0.3755E-01
   0.0142  0.0127  15.025   0.3284  0.05576     5083  0.017   0.0000   0.5414   1.241       12.30      0.4194E-01
   0.0170  0.0135  12.587   0.2930  0.03348     6509  0.021   0.0000   0.6155   1.333       10.99      0.4463E-01
   0.0198  0.0143  10.333   0.2513  0.01906     8024  0.024   0.0000   0.6837   1.377       9.700      0.4571E-01
   0.0226  0.0149   8.262   0.2077  0.00917     9602  0.028   0.0000   0.7659   1.374       8.450      0.4531E-01
   0.0253  0.0155   6.374   0.1653  0.00178    11221  0.031   0.0000   0.9205   1.329       7.250      0.4358E-01
   0.0281  0.0159   4.669   0.1264 -0.00421    12854  0.034   0.0000   1.4566   1.247       6.111      0.4070E-01
   0.0309  0.0163   3.148   0.0925 -0.00934    14478  0.038   0.0000  -7.0202   1.134       5.046      0.3688E-01
   0.0337  0.0166   1.810   0.0644 -0.01377    16068  0.041   0.0000  -0.5050  0.9983       4.067      0.3237E-01
   0.0365  0.0168   0.655   0.0423 -0.01749    17601  0.045   0.0000  -0.1589  0.8475       3.185      0.2743E-01
   0.0393  0.0169  -0.317   0.0260 -0.02041    19054  0.048   0.0000  -0.0585  0.6916       2.413      0.2235E-01
   0.0420  0.0168  -1.105   0.0148 -0.02246    20403  0.052   0.0000  -0.0217  0.5408       1.761      0.1746E-01
   0.0448  0.0167  -1.710   0.0079 -0.02361    21627  0.055   0.0000  -0.0078  0.4063       1.241      0.1311E-01
   0.0476  0.0166  -2.132   0.0041 -0.02388    22704  0.059   0.0000  -0.0028  0.2994      0.8608      0.9662E-02
   0.0504  0.0163  -2.371   0.0024 -0.02331    23611  0.062   0.0000  -0.0012  0.2320      0.6301      0.7486E-02
   0.0531  0.0159  -2.426   0.0020 -0.02198    24327  0.065   0.0000  -0.0010  0.2151      0.5536      0.6940E-02
   0.0559  0.0154  -2.298   0.0028 -0.01994    24829  0.069   0.0000  -0.0017  0.2582      0.6315      0.8330E-02
   0.0587  0.0148  -1.987   0.0056 -0.01726    25094  0.072   0.0000  -0.0051  0.3676      0.8566      0.1186E-01
   0.0615  0.0142  -1.493   0.0122 -0.01398    25098  0.076   0.0000  -0.0193  0.5450       1.213      0.1759E-01
   0.0643  0.0134  -0.815   0.0257 -0.01018    24820  0.079   0.0000  -0.0805  0.7856       1.673      0.2537E-01
   0.0670  0.0125   0.046   0.0494 -0.00600    24235  0.083   0.0000  -0.4654   1.078       2.202      0.3483E-01
   0.0698  0.0116   1.090   0.0841 -0.00159    23322  0.086   0.0000   1.6422   1.416       2.777      0.4578E-01
   0.0726  0.0106   2.318   0.1065  0.00310    22054  0.089   0.0000   0.6800   1.887       3.564      0.6112E-01
