 
# QPROP Version 1.22
# 
# Propeller_4002                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  2.089578184238314E-003
 -9.355383643636732E-002  0.493584020463579     
 GVCALC: Not converged.  Res a CL =  1.353911186343912E-003
 -9.469223025876411E-002  0.504409214037216     
 GVCALC: Not converged.  Res a CL =  1.700319662626210E-003
 -9.450610674791556E-002  0.510218927878339     
#   0.000   4000.      0.000  0.3541      0.3562E-02   1.492       5.371    0.3798   0.7315   0.0000   0.00000  0.4627E-01  0.6746E-02   6.2173   0.0000   2.040       0.000       0.5305  0.1488E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0058  0.0065  23.938   0.6013  0.03803     1010  0.007   0.0000   0.8359  0.8004       20.65      0.3163E-01
   0.0084  0.0073  21.895   0.6479  0.02721     1675  0.010   0.0000   0.8786   1.082       19.05      0.4188E-01
   0.0110  0.0082  19.961   0.6618  0.02021     2454  0.013   0.0000   0.9041   1.333       17.77      0.5087E-01
   0.0135  0.0089  18.134   0.6592  0.01575     3332  0.016   0.0000   0.9196   1.560       16.70      0.5882E-01
   0.0161  0.0096  16.415   0.6477  0.01301     4296  0.019   0.0000   0.9283   1.764       15.76      0.6591E-01
   0.0187  0.0102  14.805   0.6318  0.01144     5332  0.022   0.0000   0.9319   1.949       14.93      0.7224E-01
   0.0213  0.0108  13.302   0.6139  0.01065     6427  0.025   0.0000   0.9317   2.117       14.19      0.7792E-01
   0.0238  0.0113  11.908   0.5955  0.01038     7565  0.029   0.0000   0.9284   2.269       13.51      0.8303E-01
   0.0264  0.0118  10.622   0.5777  0.01044     8733  0.032   0.0000   0.9229   2.407       12.89      0.8765E-01
   0.0290  0.0121   9.443   0.5612  0.01071     9916  0.035   0.0000   0.9158   2.534       12.32      0.9186E-01
   0.0316  0.0125   8.373   0.5464  0.01107    11101  0.038   0.0000   0.9078   2.651       11.81      0.9573E-01
   0.0342  0.0127   7.411   0.5337  0.01146    12274  0.041   0.0000   0.8994   2.759       11.34      0.9931E-01
   0.0368  0.0129   6.557   0.5233  0.01183    13419  0.044   0.0000   0.8911   2.862       10.91      0.1027    
   0.0393  0.0130   5.811   0.5156  0.01214    14523  0.048   0.0000   0.8837   2.959       10.53      0.1059    
   0.0419  0.0131   5.173   0.5107  0.01235    15571  0.051   0.0000   0.8774   3.053       10.18      0.1090    
   0.0445  0.0131   4.643   0.5088  0.01246    16550  0.054   0.0000   0.8728   3.145       9.862      0.1121    
   0.0471  0.0130   4.222   0.4936  0.03023    17444  0.057   0.0000   0.7262   3.236       9.582      0.1152    
   0.0496  0.0129   3.908   0.5044  0.03040    18241  0.060   0.0000   0.7245   3.328       9.333      0.1183    
   0.0522  0.0127   3.702   0.5102  0.03011    18926  0.064   0.0000   0.7242   3.423       9.117      0.1215    
   0.0548  0.0125   3.605   0.5337  0.01169    19484  0.067   0.0000   0.8747   3.522       8.934      0.1249    
   0.0574  0.0122   3.615   0.5471  0.01123    19902  0.070   0.0000   0.8800   3.631       8.792      0.1286    
   0.0600  0.0118   3.734   0.5606  0.01074    20164  0.073   0.0000   0.8862   3.760       8.709      0.1331    
   0.0626  0.0114   3.961   0.5684  0.01032    20253  0.076   0.0000   0.8918   3.931       8.732      0.1392    
   0.0651  0.0109   4.295   0.5549  0.01022    20149  0.079   0.0000   0.8931   4.211       8.991      0.1494    
   0.0677  0.0103   4.738   0.4546  0.01157    19805  0.082   0.0000   0.8702   4.863       10.03      0.1735    
