 
# QPROP Version 1.22
# 
# Propeller_4039                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -2.135980698090123E-003
 -9.621555179222310E-002  0.696219951755730     
#   0.000   4000.      0.000  0.4701      0.8241E-02   3.452       5.408    0.7472   0.8542   0.0000   0.00000  0.3575E-01  0.7933E-02   6.2565   0.0000   4.041       0.000       0.3816  0.5503E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0060  0.0055  23.767   0.7333  0.02929      878  0.007   0.0000   0.8973  0.8908       22.62      0.3159E-01
   0.0090  0.0065  21.401   0.7951  0.01743     1563  0.010   0.0000   0.9378   1.253       20.92      0.4340E-01
   0.0120  0.0074  19.168   0.8132  0.01177     2392  0.014   0.0000   0.9560   1.582       19.60      0.5385E-01
   0.0149  0.0082  17.068   0.8096  0.00935     3350  0.017   0.0000   0.9629   1.880       18.48      0.6318E-01
   0.0179  0.0090  15.100   0.7938  0.00877     4423  0.021   0.0000   0.9628   2.152       17.50      0.7149E-01
   0.0209  0.0097  13.264   0.7707  0.00931     5595  0.025   0.0000   0.9576   2.396       16.61      0.7886E-01
   0.0239  0.0103  11.562   0.7431  0.01059     6850  0.028   0.0000   0.9481   2.615       15.77      0.8532E-01
   0.0268  0.0109   9.992   0.7123  0.01242     8173  0.032   0.0000   0.9344   2.807       14.97      0.9091E-01
   0.0298  0.0115   8.555   0.6962  0.01426     9554  0.036   0.0000   0.9197   2.946       14.07      0.9462E-01
   0.0328  0.0119   7.251   0.6934  0.04332    10935  0.039   0.0000   0.7868   3.219       13.97      0.1033    
   0.0358  0.0123   6.079   0.7097  0.05317    12337  0.043   0.0000   0.7516   3.462       13.75      0.1109    
   0.0388  0.0126   5.040   0.7148  0.06210    13745  0.046   0.0000   0.7182   3.673       13.45      0.1173    
   0.0418  0.0129   4.134   0.7093  0.06953    15144  0.050   0.0000   0.6868   3.846       13.05      0.1225    
   0.0447  0.0131   3.360   0.6931  0.07505    16519  0.054   0.0000   0.6568   3.979       12.57      0.1262    
   0.0477  0.0133   2.719   0.6662  0.07838    17853  0.057   0.0000   0.6276   4.064       12.00      0.1284    
   0.0507  0.0134   2.211   0.6283  0.07939    19132  0.061   0.0000   0.5981   4.096       11.35      0.1288    
   0.0537  0.0134   1.835   0.5787  0.07804    20338  0.065   0.0000   0.5665   4.064       10.60      0.1271    
   0.0566  0.0133   1.592   0.5169  0.07447    21455  0.069   0.0000   0.5302   3.957       9.740      0.1231    
   0.0596  0.0132   1.482   0.4420  0.06897    22467  0.073   0.0000   0.4846   3.756       8.750      0.1162    
   0.0626  0.0131   1.504   0.3531  0.06202    23356  0.076   0.0000   0.4213   3.434       7.590      0.1056    
   0.0656  0.0128   1.660   0.2496  0.05441    24104  0.080   0.0000   0.3242   2.942       6.184      0.8996E-01
   0.0686  0.0125   1.948   0.1828  0.04028    24665  0.084   0.0000   0.2834   2.554       5.122      0.7780E-01
   0.0716  0.0122   2.368   0.1480  0.04021    25026  0.088   0.0000   0.2186   2.327       4.466      0.7074E-01
   0.0745  0.0117   2.921   0.1141  0.04091    25187  0.092   0.0000   0.1538   2.084       3.837      0.6327E-01
   0.0775  0.0113   3.607   0.0729  0.04330    25130  0.095   0.0000   0.0856   1.869       3.305      0.5666E-01
