 
# QPROP Version 1.22
# 
# Propeller_4078                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000 -0.1064      0.1074E-01   4.500       5.428    0.9438   0.8785   0.0000   0.00000 -0.1766E-01  0.2742E-01 NaN        0.0000   5.122       0.000      -0.1750  0.3605    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0067  23.781   0.6485  0.04615     1021  0.007   0.0000   0.8254  0.8286       21.93      0.3537E-01
   0.0081  0.0080  21.450   0.5696  0.06333     1773  0.009   0.0000   0.7262   1.044       18.91      0.4284E-01
   0.0106  0.0092  19.263   0.4683  0.07615     2687  0.012   0.0000   0.6108   1.184       16.20      0.4714E-01
   0.0130  0.0103  17.219   0.3635  0.08632     3744  0.016   0.0000   0.4766   1.246       13.66      0.4848E-01
   0.0154  0.0113  15.319   0.2635  0.09490     4923  0.019   0.0000   0.3295   1.229       11.20      0.4689E-01
   0.0178  0.0122  13.562   0.1724  0.10258     6200  0.022   0.0000   0.1870   1.124       8.768      0.4226E-01
   0.0202  0.0130  11.949   0.0934  0.10996     7551  0.025   0.0000   0.0742  0.9183       6.259      0.3413E-01
   0.0226  0.0137  10.479   0.0310  0.11792     8950  0.028   0.0000   0.0121  0.5783       3.501      0.2132E-01
   0.0251  0.0143   9.153   0.0000  0.12945    10364  0.031   0.0000   0.0000 -0.6774E-02   180.0     -0.2488E-03
   0.0275  0.0148   7.971  -0.0607  0.13333    11753  0.034   0.0000   0.0198 -0.5748       177.1     -0.2116E-01
   0.0299  0.0153   6.932  -0.1941  0.12086    13139  0.037   0.0000   0.0721 -0.6254       177.1     -0.2303E-01
   0.0323  0.0156   6.037  -0.2336  0.59340    14490  0.040   0.0000   0.0169 -0.6760       177.1     -0.2489E-01
   0.0348  0.0158   5.285  -0.2339  0.69704    15785  0.043   0.0000   0.0141 -0.7266       177.1     -0.2675E-01
   0.0372  0.0159   4.677  -0.2325  0.79912    17002  0.046   0.0000   0.0119 -0.7772       177.1     -0.2862E-01
   0.0396  0.0159   4.212  -0.2328  0.87214    18121  0.049   0.0000   0.0107 -0.8278       177.1     -0.3048E-01
   0.0420  0.0158   3.891  -0.2400  0.88839    19121  0.052   0.0000   0.0109 -0.8784       177.1     -0.3234E-01
   0.0444  0.0156   3.713  -0.2571  0.83733    19982  0.055   0.0000   0.0127 -0.9290       177.1     -0.3421E-01
   0.0468  0.0153   3.679  -0.2830  0.73374    20682  0.058   0.0000   0.0165 -0.9796       177.1     -0.3607E-01
   0.0493  0.0149   3.789  -0.3136  0.60784    21200  0.061   0.0000   0.0227  -1.030       177.1     -0.3793E-01
   0.0517  0.0145   4.042  -0.3687  0.08538    21517  0.064   0.0000   0.1756  -1.081       177.1     -0.3979E-01
   0.0541  0.0139   4.439  -0.2935  0.08475    21610  0.067   0.0000   0.1456  -1.131       177.1     -0.4166E-01
   0.0565  0.0132   4.979  -0.1944  0.08522    21460  0.070   0.0000   0.1002  -1.182       177.1     -0.4352E-01
   0.0590  0.0124   5.663  -0.0678  0.08730    21045  0.073   0.0000   0.0350  -1.233       177.1     -0.4538E-01
   0.0614  0.0115   6.490   0.0000  0.07966    20368  0.076   0.0000  -0.0002 -0.4010       179.1     -0.1473E-01
   0.0638  0.0105   7.461   0.0286  0.06651    19352  0.079   0.0000   0.0131  0.8909       1.912      0.3276E-01
