 
# QPROP Version 1.22
# 
# Propeller_4099                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  6.471939268805210E-004
 -8.301464323655720E-002  0.205830061816081     
#   0.000   4000.      0.000  0.1783      0.3024E-02   1.267       5.367    0.3375   0.6993   0.0000   0.00000  0.1427E-01  0.3102E-02   3.9023   0.0000   1.811       0.000       0.2145  0.4187E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0060  0.0056  23.572   0.7237  0.05525      915  0.007   0.0000   0.7943  0.7568       18.62      0.2579E-01
   0.0089  0.0068  20.844   0.7338  0.03014     1664  0.011   0.0000   0.8699   1.038       16.90      0.3471E-01
   0.0119  0.0078  18.288   0.7080  0.01811     2582  0.014   0.0000   0.9091   1.280       15.52      0.4219E-01
   0.0148  0.0088  15.902   0.6674  0.01237     3651  0.018   0.0000   0.9279   1.486       14.33      0.4845E-01
   0.0177  0.0097  13.688   0.6208  0.00985     4848  0.021   0.0000   0.9335   1.660       13.27      0.5362E-01
   0.0207  0.0106  11.645   0.5727  0.00914     6155  0.025   0.0000   0.9286   1.803       12.31      0.5782E-01
   0.0236  0.0113   9.772   0.5256  0.00964     7548  0.029   0.0000   0.9134   1.920       11.42      0.6115E-01
   0.0266  0.0120   8.071   0.4806  0.01106     9007  0.032   0.0000   0.8867   2.011       10.60      0.6371E-01
   0.0295  0.0125   6.541   0.4388  0.01326    10510  0.036   0.0000   0.8472   2.081       9.844      0.6561E-01
   0.0324  0.0130   5.182   0.4004  0.01613    12036  0.039   0.0000   0.7947   2.132       9.145      0.6693E-01
   0.0354  0.0134   3.995   0.3655  0.01950    13562  0.043   0.0000   0.7311   2.166       8.501      0.6778E-01
   0.0383  0.0138   2.978   0.3343  0.02320    15066  0.047   0.0000   0.6605   2.187       7.908      0.6823E-01
   0.0413  0.0140   2.132   0.3124  0.04451    16526  0.050   0.0000   0.4691   2.216       7.433      0.6899E-01
   0.0442  0.0142   1.458   0.3119  0.05039    17912  0.054   0.0000   0.4304   2.307       7.217      0.7174E-01
   0.0471  0.0142   0.955   0.3011  0.05451    19219  0.058   0.0000   0.3914   2.350       6.886      0.7297E-01
   0.0501  0.0142   0.622   0.2800  0.05664    20424  0.061   0.0000   0.3500   2.338       6.442      0.7247E-01
   0.0530  0.0141   0.461   0.2483  0.05680    21507  0.065   0.0000   0.3031   2.262       5.878      0.6997E-01
   0.0559  0.0140   0.471   0.2058  0.05555    22443  0.069   0.0000   0.2469   2.126       5.228      0.6563E-01
   0.0589  0.0137   0.652   0.1956  0.03977    23197  0.072   0.0000   0.2904   2.089       4.876      0.6440E-01
   0.0618  0.0134   1.005   0.1817  0.03934    23760  0.076   0.0000   0.2633   2.039       4.530      0.6280E-01
   0.0648  0.0129   1.528   0.1671  0.03865    24109  0.080   0.0000   0.2361   1.972       4.180      0.6069E-01
   0.0677  0.0124   2.222   0.1508  0.03834    24223  0.083   0.0000   0.2042   1.883       3.815      0.5788E-01
   0.0707  0.0118   3.088   0.1312  0.03927    24082  0.087   0.0000   0.1636   1.764       3.423      0.5417E-01
   0.0736  0.0112   4.124   0.1061  0.04262    23663  0.091   0.0000   0.1129   1.610       2.999      0.4942E-01
   0.0765  0.0104   5.332   0.0681  0.04959    22944  0.094   0.0000   0.0567   1.451       2.597      0.4450E-01
