 
# QPROP Version 1.22
# 
# Propeller_4104                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.2379      0.2110E-02  0.8838       5.360    0.2657   0.6206   0.0000   0.00000  0.2112E-01  0.2465E-02   4.6262   0.0000   1.424       0.000       0.2283  0.1114E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0078  24.211   0.7973  0.02796     1223  0.007   0.0000   0.9097  0.8913       22.93      0.3301E-01
   0.0088  0.0092  22.691   0.8061  0.02141     2189  0.010   0.0000   0.9250   1.218       20.72      0.4375E-01
   0.0117  0.0106  21.248   0.7733  0.01738     3367  0.014   0.0000   0.9313   1.498       18.93      0.5258E-01
   0.0145  0.0119  19.881   0.7230  0.01459     4733  0.017   0.0000   0.9335   1.733       17.39      0.5978E-01
   0.0174  0.0130  18.590   0.6658  0.01259     6264  0.021   0.0000   0.9331   1.928       16.00      0.6555E-01
   0.0202  0.0141  17.376   0.6069  0.01113     7933  0.024   0.0000   0.9303   2.085       14.74      0.7003E-01
   0.0231  0.0150  16.239   0.5492  0.01006     9716  0.028   0.0000   0.9254   2.207       13.58      0.7336E-01
   0.0259  0.0159  15.178   0.4942  0.00930    11585  0.031   0.0000   0.9179   2.296       12.50      0.7568E-01
   0.0288  0.0166  14.193   0.4430  0.00877    13515  0.035   0.0000   0.9077   2.357       11.50      0.7712E-01
   0.0317  0.0172  13.285   0.3960  0.00842    15478  0.038   0.0000   0.8942   2.393       10.57      0.7780E-01
   0.0345  0.0178  12.454   0.3535  0.00823    17449  0.042   0.0000   0.8769   2.408       9.723      0.7785E-01
   0.0374  0.0182  11.699   0.3158  0.00816    19399  0.046   0.0000   0.8555   2.405       8.942      0.7741E-01
   0.0403  0.0186  11.021   0.2827  0.00820    21303  0.049   0.0000   0.8296   2.389       8.232      0.7662E-01
   0.0431  0.0188  10.419   0.2543  0.00833    23133  0.053   0.0000   0.7992   2.365       7.594      0.7562E-01
   0.0460  0.0189   9.894   0.2306  0.00855    24864  0.056   0.0000   0.7652   2.338       7.027      0.7456E-01
   0.0488  0.0189   9.445   0.2113  0.00885    26469  0.060   0.0000   0.7287   2.312       6.533      0.7358E-01
   0.0517  0.0188   9.073   0.1966  0.00923    27923  0.063   0.0000   0.6917   2.292       6.113      0.7284E-01
   0.0545  0.0187   8.778   0.1864  0.00968    29199  0.067   0.0000   0.6568   2.284       5.766      0.7248E-01
   0.0574  0.0184   8.559   0.1806  0.01021    30272  0.070   0.0000   0.6263   2.291       5.493      0.7264E-01
   0.0603  0.0180   8.416   0.1796  0.01083    31116  0.074   0.0000   0.6024   2.319       5.293      0.7346E-01
   0.0631  0.0175   8.350   0.1833  0.01153    31706  0.077   0.0000   0.5863   2.371       5.165      0.7508E-01
   0.0660  0.0169   8.361   0.1915  0.01233    32016  0.081   0.0000   0.5781   2.453       5.112      0.7768E-01
   0.0689  0.0162   8.448   0.2023  0.01323    32020  0.084   0.0000   0.5760   2.578       5.149      0.8163E-01
   0.0717  0.0154   8.611   0.2084  0.01423    31690  0.088   0.0000   0.5738   2.779       5.331      0.8804E-01
   0.0746  0.0145   8.851   0.1771  0.01524    30986  0.091   0.0000   0.5408   3.194       5.901      0.1014    
