 
# QPROP Version 1.22
# 
# Propeller_4269                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.3444      0.2818E-02   1.181       5.365    0.3213   0.6847   0.0000   0.00000  0.7367E-01  0.9883E-02   6.9354   0.0000   1.724       0.000       0.8057 -0.2967E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0056  0.0066  24.177   0.4681  0.31568     1025  0.007   0.0000   0.2460  0.6512       16.76      0.2780E-01
   0.0079  0.0077  22.583   0.6136  0.16855     1675  0.009   0.0000   0.4884  0.9490       17.53      0.4085E-01
   0.0102  0.0088  21.058   0.7262  0.09191     2443  0.012   0.0000   0.6892   1.244       17.91      0.5377E-01
   0.0124  0.0097  19.602   0.8115  0.05167     3316  0.015   0.0000   0.8191   1.531       18.04      0.6627E-01
   0.0147  0.0106  18.215   0.8746  0.03044     4281  0.017   0.0000   0.8931   1.806       18.01      0.7816E-01
   0.0169  0.0115  16.897   0.9199  0.01825     5326  0.020   0.0000   0.9359   2.068       17.84      0.8933E-01
   0.0192  0.0122  15.648   0.9507  0.00934     6437  0.023   0.0000   0.9669   2.315       17.59      0.9971E-01
   0.0215  0.0129  14.468   0.9701  0.00065     7600  0.025   0.0000   0.9976   2.546       17.26      0.1093    
   0.0237  0.0135  13.357   0.9804 -0.00913     8802  0.028   0.0000   1.0345   2.760       16.89      0.1180    
   0.0260  0.0140  12.316   0.9836 -0.02014    10028  0.031   0.0000   1.0809   2.958       16.47      0.1259    
   0.0282  0.0144  11.343   0.9813 -0.03184    11264  0.033   0.0000   1.1378   3.139       16.03      0.1330    
   0.0305  0.0148  10.439   0.9747 -0.04332    12495  0.036   0.0000   1.2045   3.303       15.57      0.1393    
   0.0328  0.0150   9.605   0.9649 -0.05356    13705  0.039   0.0000   1.2778   3.451       15.10      0.1449    
   0.0350  0.0152   8.839   0.9526 -0.06165    14880  0.042   0.0000   1.3522   3.583       14.63      0.1498    
   0.0373  0.0154   8.143   0.9383 -0.06684    16004  0.045   0.0000   1.4190   3.700       14.15      0.1540    
   0.0395  0.0154   7.516   0.9223 -0.06873    17062  0.047   0.0000   1.4680   3.802       13.67      0.1576    
   0.0418  0.0154   6.957   0.9045 -0.06719    18037  0.050   0.0000   1.4893   3.890       13.19      0.1606    
   0.0440  0.0153   6.468   0.8847 -0.06243    18915  0.053   0.0000   1.4777   3.964       12.72      0.1631    
   0.0463  0.0151   6.048   0.8622 -0.05494    19679  0.056   0.0000   1.4342   4.027       12.27      0.1650    
   0.0486  0.0148   5.697   0.8358 -0.04542    20315  0.059   0.0000   1.3661   4.079       11.82      0.1666    
   0.0508  0.0145   5.415   0.8034 -0.03471    20804  0.061   0.0000   1.2837   4.126       11.40      0.1680    
   0.0531  0.0141   5.202   0.7617 -0.02362    21132  0.064   0.0000   1.1966   4.173       11.02      0.1695    
   0.0553  0.0136   5.058   0.7046 -0.01285    21279  0.067   0.0000   1.1104   4.239       10.72      0.1718    
   0.0576  0.0130   4.983   0.6175 -0.00265    21223  0.070   0.0000   1.0243   4.368       10.61      0.1769    
   0.0599  0.0124   4.977   0.5073  0.03900    20842  0.072   0.0000   0.7249   5.166       12.16      0.2116    
