 
# QPROP Version 1.22
# 
# Propeller_4316                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  2.050507241093194E-003
 -9.576748068295798E-002  0.615179543943523     
 GVCALC: Not converged.  Res a CL =  2.477938579251465E-003
 -9.581494783645367E-002  0.619813102374505     
#   0.000   4000.      0.000  0.4296      0.4491E-02   1.881       5.379    0.4527   0.7726   0.0000   0.00000  0.3814E-01  0.5246E-02   6.2171   0.0000   2.435       0.000       0.6673  0.1996E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0073  23.865   0.9665  0.02769     1130  0.007   0.0000   0.9282  0.9323       24.32      0.3527E-01
   0.0088  0.0077  21.681   1.0563  0.02144     1821  0.010   0.0000   0.9437   1.263       21.67      0.4595E-01
   0.0117  0.0082  19.615   1.0800  0.01782     2588  0.014   0.0000   0.9502   1.545       19.64      0.5470E-01
   0.0145  0.0086  17.666   1.0688  0.01542     3421  0.017   0.0000   0.9530   1.785       17.99      0.6199E-01
   0.0174  0.0090  15.833   1.0386  0.01385     4312  0.021   0.0000   0.9534   1.992       16.60      0.6812E-01
   0.0202  0.0093  14.117   0.9982  0.01290     5252  0.024   0.0000   0.9517   2.168       15.39      0.7328E-01
   0.0231  0.0097  12.518   0.9528  0.01242     6232  0.028   0.0000   0.9483   2.320       14.33      0.7763E-01
   0.0259  0.0100  11.035   0.9059  0.01227     7245  0.031   0.0000   0.9431   2.449       13.39      0.8131E-01
   0.0288  0.0102   9.670   0.8597  0.01234     8283  0.035   0.0000   0.9364   2.560       12.55      0.8442E-01
   0.0317  0.0104   8.421   0.8158  0.01255     9336  0.038   0.0000   0.9284   2.656       11.80      0.8707E-01
   0.0345  0.0106   7.289   0.7752  0.01283    10397  0.042   0.0000   0.9194   2.739       11.13      0.8937E-01
   0.0374  0.0108   6.274   0.7386  0.01312    11458  0.045   0.0000   0.9097   2.813       10.52      0.9140E-01
   0.0403  0.0109   5.375   0.7067  0.01338    12510  0.049   0.0000   0.8999   2.880       9.988      0.9327E-01
   0.0431  0.0111   4.594   0.6798  0.01358    13546  0.052   0.0000   0.8905   2.944       9.514      0.9506E-01
   0.0460  0.0111   3.929   0.6582  0.01369    14558  0.056   0.0000   0.8821   3.007       9.099      0.9687E-01
   0.0488  0.0112   3.381   0.6423  0.01371    15537  0.059   0.0000   0.8752   3.072       8.740      0.9878E-01
   0.0517  0.0112   2.950   0.6152  0.03226    16475  0.063   0.0000   0.7330   3.142       8.437      0.1009    
   0.0545  0.0112   2.635   0.6183  0.03188    17368  0.067   0.0000   0.7291   3.195       8.121      0.1024    
   0.0574  0.0111   2.438   0.6199  0.03156    18201  0.070   0.0000   0.7269   3.283       7.922      0.1051    
   0.0603  0.0110   2.357   0.6198  0.03132    18968  0.074   0.0000   0.7266   3.414       7.847      0.1093    
   0.0631  0.0109   2.393   0.6499  0.01217    19664  0.077   0.0000   0.8770   3.542       7.769      0.1133    
   0.0660  0.0108   2.546   0.6639  0.01168    20279  0.081   0.0000   0.8838   3.707       7.779      0.1186    
   0.0689  0.0106   2.815   0.6730  0.01129    20800  0.084   0.0000   0.8904   3.942       7.932      0.1262    
   0.0717  0.0104   3.201   0.6593  0.01132    21213  0.087   0.0000   0.8933   4.327       8.372      0.1389    
   0.0746  0.0101   3.705   0.5929  0.03801    21435  0.090   0.0000   0.7290   5.449       10.21      0.1767    
