 
# QPROP Version 1.22
# 
# Propeller_4332                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  9.840372086107080E-003
 -0.105089765506922        1.21775141717067     
 GVCALC: Not converged.  Res a CL =  8.953376983487638E-003
 -0.106036320359269        1.15964082687068     
 GVCALC: Not converged.  Res a CL =  1.070788796942032E-002
 -0.102344564759663        1.10994192428601     
#   0.000   4000.      0.000  0.4177      0.4954E-02   2.075       5.382    0.4891   0.7883   0.0000   0.00000  0.7374E-01  0.1367E-01   7.2799   0.0000   2.632       0.000       1.1310  0.2620E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0096  24.190   0.7119  0.02735     1469  0.007   0.0000   0.8967  0.8067       21.30      0.3466E-01
   0.0081  0.0108  22.623   0.8324  0.01924     2346  0.009   0.0000   0.9336   1.109       20.50      0.4714E-01
   0.0105  0.0118  21.126   0.9229  0.01455     3349  0.012   0.0000   0.9528   1.401       19.90      0.5910E-01
   0.0128  0.0128  19.700   0.9950  0.01198     4460  0.015   0.0000   0.9629   1.684       19.41      0.7062E-01
   0.0152  0.0136  18.343   1.0545  0.01075     5659  0.018   0.0000   0.9678   1.959       18.97      0.8170E-01
   0.0176  0.0144  17.057   1.1047  0.01038     6929  0.021   0.0000   0.9697   2.224       18.57      0.9233E-01
   0.0200  0.0151  15.841   1.1474  0.01052     8250  0.023   0.0000   0.9699   2.480       18.18      0.1025    
   0.0223  0.0157  14.695   1.1839  0.01096     9605  0.026   0.0000   0.9691   2.724       17.80      0.1121    
   0.0247  0.0161  13.619   1.2148  0.01155    10975  0.029   0.0000   0.9677   2.957       17.41      0.1211    
   0.0271  0.0165  12.613   1.2405  0.01216    12340  0.032   0.0000   0.9660   3.177       17.01      0.1296    
   0.0295  0.0168  11.678   1.2614  0.01274    13682  0.035   0.0000   0.9643   3.383       16.61      0.1374    
   0.0319  0.0170  10.812   1.2775  0.01323    14981  0.038   0.0000   0.9627   3.574       16.19      0.1445    
   0.0343  0.0171  10.017   1.2888  0.01360    16219  0.041   0.0000   0.9611   3.749       15.76      0.1510    
   0.0366  0.0171   9.292   1.2178  0.03762    17374  0.044   0.0000   0.8910   3.908       15.31      0.1567    
   0.0390  0.0170   8.638   1.2387  0.03620    18458  0.047   0.0000   0.8918   3.965       14.51      0.1578    
   0.0414  0.0168   8.053   1.2449  0.03724    19385  0.049   0.0000   0.8870   4.100       14.11      0.1626    
   0.0438  0.0165   7.539   1.2406  0.03747    20172  0.052   0.0000   0.8830   4.210       13.67      0.1664    
   0.0461  0.0161   7.095   1.2256  0.03692    20798  0.055   0.0000   0.8799   4.296       13.20      0.1691    
   0.0485  0.0156   6.721   1.1996  0.03567    21242  0.058   0.0000   0.8775   4.358       12.69      0.1708    
   0.0509  0.0150   6.417   1.1596  0.03616    21457  0.061   0.0000   0.8706   4.504       12.49      0.1762    
   0.0533  0.0143   6.183   1.1099  0.03434    21466  0.064   0.0000   0.8676   4.556       12.05      0.1777    
   0.0557  0.0135   6.020   1.1275  0.01166    21226  0.067   0.0000   0.9502   4.611       11.65      0.1793    
   0.0581  0.0126   5.926   1.0578  0.01138    20713  0.070   0.0000   0.9471   4.694       11.35      0.1821    
   0.0604  0.0116   5.903   0.9517  0.01159    19896  0.073   0.0000   0.9403   4.868       11.31      0.1889    
   0.0628  0.0106   5.950   0.7697  0.04028    18681  0.076   0.0000   0.8013   5.617       12.64      0.2201    
