 
# QPROP Version 1.22
# 
# Propeller_4338                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.1204E-01  0.5180E-02   2.170       5.384    0.5069   0.7951   0.0000   0.00000  0.1256E-02  0.7401E-02   1.0836   0.0000   2.729       0.000       0.0120  0.1033    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0067  24.260   0.5791  0.06611     1061  0.007   0.0000   0.7333  0.8062       20.49      0.3005E-01
   0.0086  0.0080  22.838   0.5595  0.09622     1888  0.010   0.0000   0.6199   1.072       18.24      0.3887E-01
   0.0114  0.0092  21.495   0.5079  0.11001     2896  0.013   0.0000   0.5378   1.279       16.28      0.4541E-01
   0.0141  0.0103  20.230   0.4434  0.11394     4065  0.017   0.0000   0.4680   1.429       14.48      0.4984E-01
   0.0168  0.0113  19.043   0.3747  0.11237     5369  0.020   0.0000   0.4013   1.521       12.78      0.5230E-01
   0.0196  0.0123  17.935   0.3060  0.10797     6786  0.024   0.0000   0.3334   1.555       11.15      0.5282E-01
   0.0223  0.0131  16.906   0.2398  0.10232     8291  0.027   0.0000   0.2625   1.529       9.553      0.5143E-01
   0.0250  0.0138  15.954   0.1776  0.09636     9858  0.031   0.0000   0.1897   1.442       7.975      0.4807E-01
   0.0278  0.0144  15.082   0.1208  0.09064    11461  0.034   0.0000   0.1189   1.287       6.386      0.4260E-01
   0.0305  0.0149  14.287   0.0707  0.08552    13075  0.037   0.0000   0.0578   1.054       4.746      0.3472E-01
   0.0333  0.0153  13.571   0.0295  0.08132    14672  0.041   0.0000   0.0158  0.7226       2.976      0.2370E-01
   0.0360  0.0156  12.934  -0.0213  0.19616    16210  0.044   0.0000   0.0028 -0.6298       177.6     -0.2063E-01
   0.0387  0.0158  12.374  -0.0715  0.18551    17671  0.048   0.0000   0.0165 -0.8102       177.1     -0.2656E-01
   0.0415  0.0159  11.894  -0.1047  0.17091    19051  0.051   0.0000   0.0273 -0.8675       177.1     -0.2844E-01
   0.0442  0.0160  11.491  -0.1223  0.15999    20322  0.054   0.0000   0.0344 -0.9248       177.1     -0.3032E-01
   0.0470  0.0159  11.167  -0.1262  0.15266    21458  0.058   0.0000   0.0373 -0.9821       177.1     -0.3220E-01
   0.0497  0.0157  10.922  -0.1172  0.14884    22436  0.061   0.0000   0.0355  -1.039       177.1     -0.3408E-01
   0.0524  0.0154  10.754  -0.0942  0.14834    23232  0.065   0.0000   0.0284  -1.097       177.1     -0.3595E-01
   0.0552  0.0150  10.666  -0.0551  0.15100    23823  0.068   0.0000   0.0155  -1.154       177.1     -0.3783E-01
   0.0579  0.0145  10.655   0.0000  0.06387    24200  0.071   0.0000  -0.0013 -0.8755       177.9     -0.2867E-01
   0.0607  0.0139  10.723   0.0014  0.05949    24324  0.075   0.0000   0.0001  0.2046      0.4612      0.6690E-02
   0.0634  0.0132  10.870   0.0287  0.05758    24142  0.078   0.0000   0.0157  0.9148       1.975      0.2995E-01
   0.0662  0.0124  11.095   0.0738  0.05704    23655  0.081   0.0000   0.0612   1.455       3.015      0.4773E-01
   0.0689  0.0115  11.398   0.1299  0.05710    22841  0.085   0.0000   0.1304   1.963       3.909      0.6448E-01
   0.0716  0.0105  11.780   0.1701  0.05441    21662  0.088   0.0000   0.2161   2.725       5.233      0.8986E-01
