 
# QPROP Version 1.22
# 
# Propeller_4367                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000   1.107      0.1801E-01   7.546       5.485    1.5148   0.9082   0.0000   0.00000  0.1093      0.2405E-01  10.2482   0.0000   8.309       0.000       0.9871  0.9392E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0083  24.439   0.8311  0.02793     1289  0.007   0.0000   0.9165  0.9240       24.25      0.3586E-01
   0.0087  0.0108  23.351   0.8718  0.01992     2485  0.010   0.0000   0.9404   1.323       23.39      0.5068E-01
   0.0115  0.0132  22.310   0.8919  0.01565     4004  0.013   0.0000   0.9527   1.708       22.71      0.6476E-01
   0.0142  0.0153  21.314   0.9033  0.01312     5806  0.016   0.0000   0.9598   2.079       22.12      0.7817E-01
   0.0170  0.0172  20.364   0.9106  0.01152     7850  0.019   0.0000   0.9642   2.437       21.58      0.9093E-01
   0.0198  0.0190  19.460   0.9160  0.01047    10094  0.023   0.0000   0.9669   2.782       21.08      0.1031    
   0.0226  0.0205  18.601   0.9207  0.00976    12497  0.026   0.0000   0.9687   3.114       20.60      0.1147    
   0.0253  0.0219  17.789   0.9254  0.00927    15015  0.029   0.0000   0.9698   3.433       20.14      0.1256    
   0.0281  0.0231  17.022   0.9306  0.00891    17607  0.033   0.0000   0.9706   3.739       19.70      0.1361    
   0.0309  0.0240  16.302   0.9366  0.00865    20228  0.036   0.0000   0.9711   4.032       19.26      0.1460    
   0.0337  0.0248  15.627   0.9436  0.00843    22835  0.039   0.0000   0.9715   4.313       18.84      0.1553    
   0.0365  0.0254  14.998   0.9518  0.00825    25384  0.043   0.0000   0.9718   4.580       18.42      0.1641    
   0.0393  0.0259  14.415   0.9611  0.00809    27830  0.046   0.0000   0.9721   4.835       18.01      0.1725    
   0.0420  0.0261  13.878   0.9717  0.00793    30128  0.049   0.0000   0.9724   5.076       17.61      0.1803    
   0.0448  0.0261  13.387   0.9833  0.00777    32233  0.053   0.0000   0.9727   5.305       17.21      0.1876    
   0.0476  0.0260  12.942   0.9959  0.00761    34100  0.056   0.0000   0.9731   5.523       16.82      0.1945    
   0.0504  0.0256  12.542   1.0092  0.00745    35681  0.060   0.0000   0.9735   5.729       16.45      0.2009    
   0.0531  0.0251  12.189   1.0227  0.00729    36931  0.063   0.0000   0.9739   5.926       16.08      0.2071    
   0.0559  0.0244  11.881   1.0357  0.00715    37802  0.066   0.0000   0.9742   6.116       15.74      0.2130    
   0.0587  0.0234  11.620   1.0468  0.00704    38246  0.070   0.0000   0.9744   6.305       15.42      0.2189    
   0.0615  0.0223  11.404   1.0539  0.00698    38215  0.073   0.0000   0.9744   6.500       15.16      0.2251    
   0.0643  0.0210  11.234   1.0529  0.00701    37655  0.076   0.0000   0.9740   6.719       14.97      0.2323    
   0.0670  0.0196  11.110   1.0351  0.00724    36512  0.080   0.0000   0.9726   6.996       14.94      0.2418    
   0.0698  0.0179  11.031   0.9774  0.00796    34713  0.083   0.0000   0.9688   7.420       15.24      0.2572    
   0.0726  0.0160  10.999   0.7649  0.02976    32117  0.086   0.0000   0.8739   8.295       16.53      0.2912    
