 
# QPROP Version 1.22
# 
# Propeller_4374                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000   1.203      0.2976E-01   12.46       5.577    2.4370   0.9171   0.0000   0.00000  0.1189      0.3972E-01  10.6869   0.0000   13.59       0.000       1.1039  0.1591    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0069  23.440   0.5354  0.03117     1082  0.007   0.0000   0.8526  0.8505       21.79      0.3182E-01
   0.0087  0.0085  20.468   0.5612  0.02089     1989  0.010   0.0000   0.8968   1.191       20.49      0.4379E-01
   0.0115  0.0100  17.691   0.5657  0.01845     3112  0.013   0.0000   0.9049   1.506       19.45      0.5465E-01
   0.0142  0.0114  15.111   0.5616  0.01968     4424  0.017   0.0000   0.8949   1.799       18.56      0.6458E-01
   0.0170  0.0126  12.726   0.5542  0.02264     5894  0.020   0.0000   0.8754   2.072       17.78      0.7373E-01
   0.0198  0.0137  10.537   0.6506  0.06223     7430  0.023   0.0000   0.7538   2.508       18.62      0.9011E-01
   0.0226  0.0147   8.544   0.7728  0.09600     9029  0.026   0.0000   0.7090   2.994       19.65      0.1089    
   0.0253  0.0156   6.747   0.8734  0.13062    10694  0.029   0.0000   0.6724   3.451       20.27      0.1265    
   0.0281  0.0163   5.145   0.9553  0.16284    12401  0.032   0.0000   0.6438   3.878       20.58      0.1427    
   0.0309  0.0169   3.740   1.0214  0.19084    14125  0.036   0.0000   0.6217   4.277       20.67      0.1576    
   0.0337  0.0174   2.530   1.0744  0.21360    15839  0.039   0.0000   0.6052   4.648       20.60      0.1711    
   0.0365  0.0178   1.516   1.1167  0.23060    17516  0.042   0.0000   0.5936   4.990       20.39      0.1832    
   0.0393  0.0180   0.698   1.1501  0.24157    19126  0.045   0.0000   0.5864   5.303       20.09      0.1940    
   0.0420  0.0181   0.076   1.1762  0.24650    20641  0.049   0.0000   0.5834   5.587       19.70      0.2033    
   0.0448  0.0181  -0.350   1.1958  0.24547    22029  0.052   0.0000   0.5846   5.840       19.24      0.2114    
   0.0476  0.0179  -0.580   1.2093  0.23871    23261  0.056   0.0000   0.5897   6.061       18.73      0.2180    
   0.0504  0.0176  -0.615   1.2169  0.22659    24303  0.059   0.0000   0.5989   6.249       18.16      0.2233    
   0.0531  0.0172  -0.453   1.2177  0.20958    25126  0.062   0.0000   0.6123   6.400       17.55      0.2271    
   0.0559  0.0167  -0.096   1.2108  0.18839    25695  0.066   0.0000   0.6299   6.513       16.89      0.2295    
   0.0587  0.0160   0.457   1.1946  0.16393    25977  0.069   0.0000   0.6520   6.586       16.19      0.2304    
   0.0615  0.0152   1.206   1.1669  0.13742    25938  0.073   0.0000   0.6787   6.623       15.47      0.2300    
   0.0643  0.0143   2.151   1.1254  0.11052    25539  0.077   0.0000   0.7097   6.635       14.77      0.2289    
   0.0670  0.0132   3.291   1.0670  0.08556    24738  0.080   0.0000   0.7434   6.660       14.16      0.2285    
   0.0698  0.0120   4.628   0.9878  0.06659    23475  0.083   0.0000   0.7734   6.843       13.95      0.2344    
   0.0726  0.0107   6.160   0.8764  0.07270    21537  0.086   0.0000   0.7571   8.057       16.00      0.2813    
