 
# QPROP Version 1.22
# 
# Propeller_4390                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL =  7.620722287962865E-004
 -9.409611831493964E-002  0.523892348842926     
#   0.000   4000.      0.000  0.7047      0.1455E-01   6.095       5.458    1.2428   0.8986   0.0000   0.00000  0.1036      0.3192E-01   9.0324   0.0000   6.783       0.000       0.8513  0.1065    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0058  0.0057  23.655   0.6492  0.03297      881  0.007   0.0000   0.8709  0.8427       22.20      0.3503E-01
   0.0083  0.0072  21.082   0.6509  0.02270     1592  0.010   0.0000   0.9037   1.145       20.76      0.4668E-01
   0.0108  0.0085  18.667   0.6342  0.01850     2474  0.012   0.0000   0.9146   1.421       19.56      0.5702E-01
   0.0133  0.0097  16.410   0.6109  0.01735     3509  0.015   0.0000   0.9131   1.671       18.52      0.6624E-01
   0.0158  0.0108  14.310   0.5857  0.01777     4678  0.018   0.0000   0.9038   1.900       17.58      0.7449E-01
   0.0183  0.0118  12.368   0.5611  0.01900     5958  0.022   0.0000   0.8896   2.108       16.74      0.8192E-01
   0.0208  0.0127  10.584   0.5239  0.03869     7331  0.025   0.0000   0.7781   2.300       15.97      0.8866E-01
   0.0232  0.0136   8.957   0.6010  0.05367     8723  0.027   0.0000   0.7475   2.644       16.45      0.1024    
   0.0258  0.0143   7.488   0.6669  0.07205    10152  0.030   0.0000   0.7133   2.998       16.89      0.1167    
   0.0283  0.0149   6.176   0.7230  0.09038    11609  0.033   0.0000   0.6842   3.334       17.15      0.1301    
   0.0308  0.0154   5.022   0.7704  0.10722    13074  0.036   0.0000   0.6608   3.650       17.26      0.1426    
   0.0333  0.0159   4.025   0.8101  0.12161    14529  0.039   0.0000   0.6427   3.945       17.25      0.1541    
   0.0358  0.0162   3.187   0.8428  0.13291    15955  0.042   0.0000   0.6296   4.220       17.15      0.1647    
   0.0383  0.0164   2.505   0.8694  0.14075    17331  0.045   0.0000   0.6210   4.472       16.96      0.1742    
   0.0408  0.0166   1.982   0.8902  0.14493    18637  0.048   0.0000   0.6167   4.700       16.71      0.1826    
   0.0433  0.0166   1.616   0.9058  0.14542    19853  0.051   0.0000   0.6164   4.905       16.39      0.1899    
   0.0457  0.0165   1.408   0.9163  0.14233    20957  0.054   0.0000   0.6201   5.085       16.03      0.1961    
   0.0482  0.0164   1.357   0.9217  0.13591    21928  0.057   0.0000   0.6277   5.240       15.62      0.2013    
   0.0507  0.0161   1.464   0.9217  0.12657    22743  0.060   0.0000   0.6392   5.372       15.18      0.2055    
   0.0533  0.0157   1.728   0.9159  0.11491    23378  0.063   0.0000   0.6546   5.483       14.72      0.2089    
   0.0558  0.0153   2.150   0.9037  0.10172    23809  0.067   0.0000   0.6735   5.582       14.28      0.2118    
   0.0583  0.0147   2.730   0.8842  0.08816    24009  0.070   0.0000   0.6952   5.690       13.90      0.2152    
   0.0608  0.0141   3.467   0.8561  0.07607    23943  0.073   0.0000   0.7171   5.859       13.71      0.2212    
   0.0633  0.0133   4.362   0.8169  0.06966    23553  0.076   0.0000   0.7302   6.249       14.07      0.2367    
   0.0658  0.0125   5.415   0.7551  0.09560    22575  0.077   0.0000   0.6812   7.754       17.13      0.3025    
