 
# QPROP Version 1.22
# 
# Propeller_4408                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.2315E-01 -0.1120E-02 -0.4693       5.335    0.0120  -7.3330   0.0000   0.00000  0.1761E-02 -0.1079E-02   1.3885   0.0000  0.6400E-01   0.000       0.0150 -0.1269E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0060  0.0078  23.705   0.3373  0.38848     1303  0.007   0.0000   0.1306  0.6290       15.04      0.2038E-01
   0.0090  0.0112  21.219   0.3084  0.24429     2816  0.011   0.0000   0.1929  0.8882       14.11      0.2854E-01
   0.0120  0.0144  18.873   0.2742  0.16641     4820  0.014   0.0000   0.2375   1.101       13.05      0.3505E-01
   0.0149  0.0172  16.667   0.2378  0.11639     7248  0.018   0.0000   0.2700   1.263       11.91      0.3986E-01
   0.0179  0.0198  14.600   0.2012  0.08115    10032  0.022   0.0000   0.2953   1.373       10.73      0.4297E-01
   0.0209  0.0221  12.673   0.1661  0.05494    13101  0.025   0.0000   0.3184   1.431       9.545      0.4447E-01
   0.0239  0.0241  10.886   0.1336  0.03476    16380  0.029   0.0000   0.3474   1.440       8.369      0.4445E-01
   0.0268  0.0258   9.238   0.1044  0.01889    19793  0.033   0.0000   0.4024   1.403       7.224      0.4308E-01
   0.0298  0.0272   7.729   0.0789  0.00626    23266  0.037   0.0000   0.5701   1.325       6.124      0.4051E-01
   0.0328  0.0284   6.361   0.0573 -0.00385    26720  0.040   0.0000   4.0986   1.213       5.083      0.3694E-01
   0.0358  0.0292   5.132   0.0397 -0.01188    30079  0.044   0.0000  -0.3227   1.072       4.113      0.3257E-01
   0.0388  0.0298   4.042   0.0258 -0.01817    33269  0.048   0.0000  -0.0904  0.9111       3.221      0.2762E-01
   0.0418  0.0301   3.092   0.0155 -0.02291    36213  0.051   0.0000  -0.0313  0.7370       2.418      0.2231E-01
   0.0447  0.0301   2.282   0.0083 -0.02625    38839  0.055   0.0000  -0.0104  0.5587       1.709      0.1690E-01
   0.0477  0.0299   1.612   0.0037 -0.02828    41073  0.059   0.0000  -0.0029  0.3849       1.104      0.1164E-01
   0.0507  0.0293   1.081   0.0012 -0.02906    42844  0.062   0.0000  -0.0006  0.2248      0.6068      0.6795E-02
   0.0537  0.0285   0.689   0.0002 -0.02864    44080  0.066   0.0000   0.0000  0.8801E-01  0.2243      0.2660E-02
   0.0566  0.0274   0.438   0.0000 -0.02705    44709  0.070   0.0000   0.0000 -0.1586E-01   180.0     -0.4792E-03
   0.0596  0.0260   0.326   0.0000 -0.02435    44659  0.073   0.0000   0.0000 -0.7657E-01   179.8     -0.2314E-02
   0.0626  0.0243   0.353   0.0000 -0.02061    43859  0.077   0.0000   0.0000 -0.8553E-01   179.8     -0.2585E-02
   0.0656  0.0223   0.520   0.0000 -0.01588    42235  0.081   0.0000   0.0000 -0.3494E-01   179.9     -0.1056E-02
   0.0686  0.0201   0.827   0.0002 -0.01022    39713  0.084   0.0000  -0.0001  0.8190E-01  0.1634      0.2475E-02
   0.0716  0.0176   1.273   0.0020 -0.00362    36221  0.088   0.0000  -0.0050  0.2649      0.5064      0.8005E-02
   0.0745  0.0147   1.859   0.0083  0.00416    31685  0.092   0.0000   0.0309  0.5043      0.9257      0.1524E-01
   0.0775  0.0117   2.585   0.0214  0.01381    26032  0.095   0.0000   0.0356  0.7875       1.390      0.2381E-01
