 
# QPROP Version 1.22
# 
# Propeller_4487                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000   1.040      0.1571E-01   6.580       5.467    1.3338   0.9025   0.0000   0.00000  0.1027      0.2097E-01   9.9359   0.0000   7.291       0.000       1.0145  0.8585E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0059  24.513   0.9940  0.03398      904  0.007   0.0000   0.9167  0.9427       24.92      0.3698E-01
   0.0087  0.0075  23.560   1.0428  0.02458     1719  0.010   0.0000   0.9395   1.343       23.86      0.5181E-01
   0.0115  0.0091  22.639   1.0632  0.01947     2750  0.013   0.0000   0.9512   1.727       23.03      0.6577E-01
   0.0142  0.0105  21.748   1.0710  0.01630     3972  0.016   0.0000   0.9582   2.094       22.32      0.7893E-01
   0.0170  0.0118  20.888   1.0724  0.01417     5359  0.019   0.0000   0.9627   2.445       21.67      0.9134E-01
   0.0198  0.0129  20.059   1.0705  0.01267     6885  0.023   0.0000   0.9658   2.781       21.07      0.1030    
   0.0226  0.0140  19.260   1.0667  0.01158     8525  0.026   0.0000   0.9678   3.101       20.50      0.1140    
   0.0253  0.0149  18.491   1.0623  0.01076    10252  0.029   0.0000   0.9693   3.406       19.95      0.1244    
   0.0281  0.0157  17.753   1.0577  0.01014    12038  0.033   0.0000   0.9702   3.696       19.42      0.1341    
   0.0309  0.0164  17.046   1.0534  0.00965    13857  0.036   0.0000   0.9709   3.970       18.91      0.1431    
   0.0337  0.0170  16.370   1.0498  0.00926    15681  0.039   0.0000   0.9713   4.229       18.41      0.1515    
   0.0365  0.0175  15.724   1.0470  0.00893    17482  0.043   0.0000   0.9716   4.472       17.92      0.1594    
   0.0393  0.0178  15.109   1.0452  0.00867    19231  0.046   0.0000   0.9717   4.701       17.44      0.1666    
   0.0420  0.0180  14.524   1.0446  0.00844    20901  0.050   0.0000   0.9718   4.914       16.97      0.1733    
   0.0448  0.0181  13.970   1.0451  0.00824    22463  0.053   0.0000   0.9718   5.112       16.50      0.1794    
   0.0476  0.0181  13.446   1.0467  0.00806    23889  0.056   0.0000   0.9718   5.295       16.04      0.1849    
   0.0504  0.0180  12.953   1.0494  0.00791    25148  0.060   0.0000   0.9717   5.464       15.60      0.1900    
   0.0531  0.0177  12.491   1.0526  0.00777    26212  0.063   0.0000   0.9715   5.620       15.16      0.1946    
   0.0559  0.0173  12.060   1.0557  0.00766    27051  0.067   0.0000   0.9713   5.767       14.75      0.1989    
   0.0587  0.0169  11.659   1.0576  0.00759    27634  0.070   0.0000   0.9709   5.907       14.35      0.2030    
   0.0615  0.0162  11.288   1.0560  0.00758    27930  0.074   0.0000   0.9703   6.049       14.01      0.2073    
   0.0643  0.0155  10.948   1.0467  0.00766    27907  0.077   0.0000   0.9692   6.211       13.74      0.2123    
   0.0670  0.0147  10.639   1.0208  0.00793    27528  0.080   0.0000   0.9671   6.425       13.61      0.2194    
   0.0698  0.0137  10.360   0.9554  0.00868    26745  0.084   0.0000   0.9622   6.782       13.81      0.2320    
   0.0726  0.0126  10.113   0.7516  0.01168    25444  0.086   0.0000   0.9416   7.649       15.10      0.2647    
