 
# QPROP Version 1.22
# 
# Propeller_4528                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -6.045662221215220E-003
 -9.159384448584307E-002  0.953666682768260     
#   0.000   4000.      0.000   1.040      0.2020E-01   8.462       5.502    1.6866   0.9119   0.0000   0.00000  0.8761E-01  0.2211E-01   9.5470   0.0000   9.280       0.000       1.0866  0.8784E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0060  0.0076  23.928   0.8063  0.02811     1173  0.007   0.0000   0.9160  0.9637       25.33      0.3657E-01
   0.0089  0.0086  21.859   0.8912  0.02148     2021  0.010   0.0000   0.9374   1.351       23.40      0.4974E-01
   0.0118  0.0096  19.890   0.9281  0.01837     3021  0.013   0.0000   0.9455   1.705       21.93      0.6142E-01
   0.0147  0.0105  18.021   0.9406  0.01696     4155  0.017   0.0000   0.9480   2.030       20.71      0.7194E-01
   0.0175  0.0113  16.252   0.9402  0.01652     5401  0.020   0.0000   0.9472   2.330       19.67      0.8147E-01
   0.0204  0.0121  14.583   0.9326  0.01666     6740  0.024   0.0000   0.9442   2.608       18.75      0.9016E-01
   0.0233  0.0127  13.014   0.9213  0.01715     8152  0.027   0.0000   0.9399   2.864       17.93      0.9811E-01
   0.0262  0.0133  11.544   0.9537  0.01660     9637  0.031   0.0000   0.9405   3.041       16.79      0.1029    
   0.0292  0.0138  10.175   0.9148  0.04360    11103  0.034   0.0000   0.8503   3.355       16.67      0.1133    
   0.0321  0.0142   8.905   0.9566  0.05219    12580  0.038   0.0000   0.8308   3.655       16.50      0.1233    
   0.0350  0.0145   7.735   0.9928  0.06085    14049  0.041   0.0000   0.8117   3.939       16.28      0.1326    
   0.0379  0.0148   6.665   1.0238  0.06911    15489  0.045   0.0000   0.7940   4.206       16.02      0.1412    
   0.0408  0.0149   5.695   1.0502  0.07658    16883  0.048   0.0000   0.7780   4.455       15.73      0.1491    
   0.0437  0.0150   4.825   1.0724  0.08298    18208  0.052   0.0000   0.7641   4.683       15.41      0.1562    
   0.0466  0.0150   4.055   1.0907  0.08808    19446  0.055   0.0000   0.7524   4.892       15.06      0.1626    
   0.0495  0.0149   3.385   1.1056  0.09176    20575  0.059   0.0000   0.7429   5.079       14.68      0.1683    
   0.0524  0.0148   2.815   1.1171  0.09395    21574  0.062   0.0000   0.7357   5.246       14.29      0.1732    
   0.0552  0.0145   2.344   1.1255  0.09467    22422  0.066   0.0000   0.7307   5.393       13.89      0.1774    
   0.0581  0.0142   1.974   1.1307  0.09401    23097  0.070   0.0000   0.7277   5.524       13.49      0.1811    
   0.0611  0.0138   1.703   1.1326  0.09221    23577  0.073   0.0000   0.7267   5.643       13.09      0.1844    
   0.0640  0.0133   1.532   1.1309  0.08967    23837  0.077   0.0000   0.7272   5.764       12.74      0.1878    
   0.0669  0.0127   1.461   1.1249  0.08713    23852  0.080   0.0000   0.7282   5.912       12.49      0.1923    
   0.0698  0.0120   1.490   1.1134  0.08622    23591  0.084   0.0000   0.7277   6.150       12.45      0.2000    
   0.0727  0.0113   1.619   1.0927  0.09176    23001  0.087   0.0000   0.7188   6.662       12.98      0.2175    
   0.0756  0.0104   1.848   1.0420  0.13628    21854  0.089   0.0000   0.6622   8.433       16.10      0.2832    
