 
# QPROP Version 1.22
# 
# Propeller_4805                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 GVCALC: Not converged.  Res a CL = -9.540317867568412E-003
 -8.895831700000018E-002  0.511697258375175     
 GVCALC: Not converged.  Res a CL = -5.545763355507091E-003
 -9.215744966492947E-002  0.499757516223437     
 GVCALC: Not converged.  Res a CL = -4.820237006183031E-003
 -9.295541036046373E-002  0.501602328931056     
 GVCALC: Not converged.  Res a CL = -7.936008077110174E-003
 -9.146106852361249E-002  0.516417209986665     
#   0.000   4000.      0.000  0.6315      0.8926E-02   3.739       5.413    0.8010   0.8622   0.0000   0.00000  0.9858E-01  0.2111E-01   8.6802   0.0000   4.336       0.000       0.5220  0.1016E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0057  0.0074  24.131   0.7392  0.02859     1114  0.006   0.0000   0.9055  0.9056       24.49      0.3956E-01
   0.0082  0.0101  22.466   0.7059  0.02054     2187  0.009   0.0000   0.9252   1.251       23.41      0.5373E-01
   0.0107  0.0126  20.897   0.6721  0.01654     3577  0.012   0.0000   0.9341   1.573       22.42      0.6658E-01
   0.0131  0.0149  19.424   0.6401  0.01429     5251  0.015   0.0000   0.9380   1.872       21.50      0.7823E-01
   0.0156  0.0171  18.047   0.6108  0.01292     7176  0.018   0.0000   0.9393   2.151       20.64      0.8884E-01
   0.0180  0.0191  16.767   0.5843  0.01204     9318  0.021   0.0000   0.9389   2.410       19.83      0.9853E-01
   0.0205  0.0209  15.582   0.5609  0.01145    11641  0.024   0.0000   0.9376   2.652       19.09      0.1074    
   0.0230  0.0225  14.493   0.5406  0.01102    14108  0.027   0.0000   0.9358   2.878       18.39      0.1156    
   0.0254  0.0239  13.501   0.5232  0.01070    16682  0.030   0.0000   0.9338   3.091       17.75      0.1233    
   0.0279  0.0252  12.604   0.5090  0.01043    19326  0.033   0.0000   0.9319   3.292       17.17      0.1305    
   0.0303  0.0263  11.804   0.4978  0.01018    22000  0.036   0.0000   0.9302   3.484       16.63      0.1373    
   0.0328  0.0272  11.100   0.4896  0.00994    24667  0.039   0.0000   0.9290   3.669       16.15      0.1438    
   0.0353  0.0279  10.492   0.4847  0.00970    27289  0.042   0.0000   0.9283   3.848       15.71      0.1502    
   0.0377  0.0284   9.980   0.5117  0.00901    29860  0.045   0.0000   0.9342   3.967       15.08      0.1539    
   0.0402  0.0288   9.564   0.4998  0.00894    32261  0.048   0.0000   0.9323   4.167       14.84      0.1613    
   0.0426  0.0290   9.244   0.5016  0.00869    34511  0.051   0.0000   0.9333   4.348       14.57      0.1679    
   0.0451  0.0290   9.021   0.5164  0.00829    36576  0.054   0.0000   0.9368   4.509       14.26      0.1736    
   0.0475  0.0289   8.893   0.5087  0.00821    38366  0.057   0.0000   0.9362   4.741       14.21      0.1825    
   0.0500  0.0285   8.862   0.5228  0.00786    39906  0.060   0.0000   0.9398   4.935       14.06      0.1897    
   0.0525  0.0280   8.927   0.5386  0.00752    41129  0.063   0.0000   0.9435   5.145       13.96      0.1976    
   0.0549  0.0273   9.087   0.5543  0.00720    41995  0.066   0.0000   0.9472   5.378       13.93      0.2065    
   0.0574  0.0265   9.344   0.5662  0.00695    42460  0.069   0.0000   0.9502   5.649       14.02      0.2171    
   0.0599  0.0254   9.697   0.5670  0.00685    42477  0.071   0.0000   0.9517   5.986       14.26      0.2305    
   0.0623  0.0242  10.146   0.5388  0.00708    41978  0.074   0.0000   0.9494   6.456       14.83      0.2499    
   0.0648  0.0228  10.691   0.4288  0.02987    40734  0.076   0.0000   0.7941   7.444       16.64      0.2933    
