  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 7618                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.4954   0.00000  -0.00171  -0.2610   0.0000   0.0000
  -4.500   0.5589   0.00000  -0.00171  -0.2626   0.0000   0.0000
  -4.000   0.6224   0.00000  -0.00172  -0.2642   0.0000   0.0000
  -3.500   0.6858   0.00000  -0.00172  -0.2658   0.0000   0.0000
  -3.000   0.7492   0.00000  -0.00173  -0.2674   0.0000   0.0000
  -2.500   0.8125   0.00000  -0.00173  -0.2691   0.0000   0.0000
  -2.000   0.8758   0.00000  -0.00174  -0.2707   0.0000   0.0000
  -1.500   0.9390   0.00000  -0.00174  -0.2723   0.0000   0.0000
  -1.000   1.0021   0.00000  -0.00175  -0.2739   0.0000   0.0000
  -0.500   1.0652   0.00000  -0.00176  -0.2755   0.0000   0.0000
   0.000   1.1281   0.00000  -0.00176  -0.2771   0.0000   0.0000
   0.500   1.1910   0.00000  -0.00177  -0.2787   0.0000   0.0000
   1.000   1.2538   0.00000  -0.00178  -0.2803   0.0000   0.0000
   1.500   1.3165   0.00000  -0.00179  -0.2819   0.0000   0.0000
   2.000   1.3791   0.00000  -0.00179  -0.2835   0.0000   0.0000
   2.500   1.4416   0.00000  -0.00180  -0.2851   0.0000   0.0000
   3.000   1.5040   0.00000  -0.00181  -0.2867   0.0000   0.0000
   3.500   1.5662   0.00000  -0.00182  -0.2883   0.0000   0.0000
   4.000   1.6284   0.00000  -0.00183  -0.2899   0.0000   0.0000
   4.500   1.6904   0.00000  -0.00184  -0.2914   0.0000   0.0000
   5.000   1.7523   0.00000  -0.00185  -0.2930   0.0000   0.0000
   5.500   1.8141   0.00000  -0.00186  -0.2946   0.0000   0.0000
   6.000   1.8757   0.00000  -0.00187  -0.2961   0.0000   0.0000
   6.500   1.9372   0.00000  -0.00188  -0.2977   0.0000   0.0000
   7.000   1.9985   0.00000  -0.00189  -0.2992   0.0000   0.0000
   7.500   2.0597   0.00000  -0.00191  -0.3007   0.0000   0.0000
   8.000   2.1207   0.00000  -0.00192  -0.3023   0.0000   0.0000
   8.500   2.1816   0.00000  -0.00193  -0.3038   0.0000   0.0000
   9.000   2.2423   0.00000  -0.00194  -0.3053   0.0000   0.0000
   9.500   2.3028   0.00000  -0.00195  -0.3068   0.0000   0.0000
  10.000   2.3632   0.00000  -0.00197  -0.3082   0.0000   0.0000
  10.500   2.4233   0.00000  -0.00198  -0.3097   0.0000   0.0000
  11.000   2.4833   0.00000  -0.00199  -0.3112   0.0000   0.0000
  11.500   2.5431   0.00000  -0.00200  -0.3126   0.0000   0.0000
  12.000   2.6028   0.00000  -0.00202  -0.3140   0.0000   0.0000
  12.500   2.6622   0.00000  -0.00203  -0.3154   0.0000   0.0000
  13.000   2.7214   0.00000  -0.00204  -0.3169   0.0000   0.0000
  13.500   2.7804   0.00000  -0.00206  -0.3182   0.0000   0.0000
  14.000   2.8392   0.00000  -0.00207  -0.3196   0.0000   0.0000
  14.500   2.8977   0.00000  -0.00208  -0.3210   0.0000   0.0000
  15.000   2.9561   0.00000  -0.00210  -0.3223   0.0000   0.0000
