  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 8319                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.030 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2374   0.14901   0.14335  -0.0207   0.8761   0.4425
  -4.500  -0.3280   0.15244   0.14713  -0.0067   0.9106   0.4471
  -4.000  -0.2287   0.14574   0.14031  -0.0097   0.8678   0.5881
  -3.500  -0.5134   0.15061   0.14592   0.0276   0.9995   0.4484
  -3.000   0.1755   0.12471   0.11867  -0.0656   0.8038   1.0000
  -2.500   0.1394   0.12852   0.12267  -0.0603   0.8268   1.0000
  -1.500  -0.0389   0.13815   0.13297  -0.0273   0.9685   1.0000
  -1.000  -0.0291   0.13581   0.13063  -0.0294   0.9559   1.0000
  -0.500  -0.1062   0.13253   0.12748  -0.0109   0.9398   0.9590
   0.000  -0.2285   0.12766   0.12281   0.0143   0.9263   0.8908
   0.500  -0.3497   0.12102   0.11635   0.0356   0.9148   0.8288
   1.000  -0.2063   0.11422   0.10815  -0.0475   0.8900   0.4661
   1.500  -0.0776   0.11397   0.10640  -0.0777   0.8745   0.3530
   2.000  -0.0016   0.11562   0.10705  -0.0884   0.8623   0.3228
   2.500   0.0695   0.11881   0.10932  -0.0961   0.8488   0.3147
   3.500   0.1542   0.12241   0.11164  -0.1000   0.8219   0.3251
   4.000   0.2163   0.12783   0.11639  -0.1043   0.8097   0.3431
   5.000   0.2789   0.13222   0.12051  -0.1037   0.7833   0.3981
   5.500   0.3309   0.13708   0.12653  -0.1063   0.7713   0.5244
   6.500   0.3777   0.14104   0.12972  -0.1023   0.7442   1.0000
   7.000   0.4246   0.14804   0.13593  -0.1043   0.7314   1.0000
   7.500   0.4387   0.14934   0.13684  -0.1027   0.7174   1.0000
   8.000   0.4702   0.15449   0.14158  -0.1036   0.7067   1.0000
   8.500   0.5053   0.15974   0.14649  -0.1048   0.6930   1.0000
   9.000   0.5216   0.16188   0.14840  -0.1042   0.6809   1.0000
   9.500   0.5694   0.17121   0.15743  -0.1072   0.6706   1.0000
  10.000   0.5786   0.17080   0.15691  -0.1060   0.6569   1.0000
  10.500   0.6061   0.17582   0.16177  -0.1070   0.6475   1.0000
  11.000   0.6376   0.18085   0.16666  -0.1083   0.6340   1.0000
  11.500   0.6537   0.18319   0.16892  -0.1086   0.6242   1.0000
  12.000   0.6951   0.19163   0.17726  -0.1110   0.6127   1.0000
  12.500   0.7035   0.19140   0.17700  -0.1108   0.6016   1.0000
  13.500   0.7530   0.19995   0.18550  -0.1135   0.5798   1.0000
  14.000   0.7935   0.21038   0.19592  -0.1163   0.5719   1.0000
  14.500   0.8008   0.20856   0.19415  -0.1166   0.5592   1.0000
  15.000   0.8341   0.21719   0.20280  -0.1190   0.5516   1.0000
